web-scraper-order,web-scraper-start-url,Chiens,Chiens-href,Nom,Prix,Adresse,Image-src
"1739187749-1","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530","Pitt Bull red nose femelle","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_742530_uploaded_image1_1563025513.69.png"
"1739187752-2","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_742716_uploaded_image2_1563030467.78.png"
"1739187755-3","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichons maltais","190 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png"
"1739187758-4","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-751964","Chiot Boerboel","450 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3057395_uploaded_image1_1618335212.jpg"
"1739187761-5","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitbull-red-nose-778978","Pitbull Red Nose","220 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png"
"1739187764-6","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-bichons-maltais-788455","Caniche bichons maltais","190 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png"
"1739187768-7","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-a-poil-long-848994","Chiots bergers allemands","200 000 CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_4176841_uploaded_image1_1681482623.jpg"
"1739187772-8","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-891450","Chiots Cane Corso","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2996177_uploaded_image1_1615461551.jpg"
"1739187775-9","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitbull-black-nose-900600","Pitbull black nose","250 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png"
"1739187779-10","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-956906","Chiot Cane Corso","800 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png"
"1739187782-11","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/boerboel-femelle-989796","Boerboel femelle","400 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png"
"1739187785-12","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-1000525","Chiots","350 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1000525_uploaded_image1_1569688531.08.png"
"1739187789-13","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-akita-americain-1106542","Chiots akita américain","990 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png"
"1739187793-14","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1115802","Chiot berger allemand","200 000 CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png"
