web-scraper-order,web-scraper-start-url,Mouton,Mouton-href,NOM,PRIX,ADRESSE,IMAGE-src
"1739190849-1","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-de-race-721746","Moutons de race","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_721746_uploaded_image1_1562546733.94.png"
"1739190852-2","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-722669","Moutons","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_722669_uploaded_image1_1562546978.82.png"
"1739190854-3","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-723681","Mouton Ladoum","300 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_723681_uploaded_image1_1562583405.41.png"
"1739190856-4","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-724916","Moutons","Prix sur demande","Koussanar, Sénégal","https://images.coinafrique.com/thumb_724916_uploaded_image1_1562601308.96.png"
"1739190859-5","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-tabaski-725090","Mouton","190 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2379537_uploaded_image1_1593660956.jpg"
"1739190861-6","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-730962","Moutons","190 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_730962_uploaded_image1_1562758817.51.png"
"1739190864-7","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-742328","Moutons","250 000 CFA","Sénégal","https://images.coinafrique.com/thumb_742328_uploaded_image1_1563020125.88.png"
"1739190866-8","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-743065","Mouton","260 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png"
"1739190869-9","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-743066","Mouton","150 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743066_uploaded_image1_1563041262.7.png"
"1739190871-10","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-743067","Mouton","260 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png"
"1739190873-11","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-743068","Mouton","260 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png"
"1739190876-12","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-743069","Mouton","260 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_743069_uploaded_image1_1563041443.85.png"
"1739190878-13","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-743301","Mouton","400 000 CFA","Sénégal","https://images.coinafrique.com/thumb_2429932_uploaded_image1_1594557484.21.jpeg"
"1739190881-14","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-751740","Mouton","220 CFA","Sénégal","https://images.coinafrique.com/thumb_751740_uploaded_image1_1563313372.96.png"
"1739190883-15","https://sn.coinafrique.com/categorie/moutons?page=16","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-751785","Mouton","300 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_751785_uploaded_image1_1563314576.98.png"
